tagalog,english,cebuano
mas gustong maglaro ang mga bata kaysa sa mag aral,children prefer to play than to study,mas ganahang magdula ang mga bata kaysa sa magtoon
dapat malaman mo ang pagluluto ng manok,you should know how to cook chicken,dapat lang nga mahibal an nimo ang pagluto og manok
pinakalaki sa hapon ang lawang biwa,biwa lake is the largest in japan,pinakadako sa suba sa hapon ang suba sa biwa
gusto nilang magnostalhiya,they want to be nostalgic,ganahan sila nga magnostalya
sampung taon ay matagal na panahon,ten years is a long time,napulo ka tuig perting nang dugaya
sinusubukan kong tandaan,i m trying to remember,akong gisulayan og hinumdum
nagpuntang paris siya,he went to paris,niadto siya sa paris
lumabas siya para maglakad,he went out for a walk,nigawas na siya aron magbaktas baktas
pinatunayan mo ang lahat ng mga pangarap ko,you made all my dreams come true,gipamatud an nimo ang tanan nakong mga pangandoy
humahaginit sa tabi ng bintana sa kusina ang mga bubuyog,bees are buzzing by the kitchen window,hiumaginit sa tapad sa bintana sa kusina ang mga buyog
sa umpisa babasahin ko ito,in the beginning i will read it,sa sugod akua ning basahon
wala akong oras magluto,i don t have time to cook,wala ko panahon aron magluto
pabiro niyang sinabi iyon,he said that jokingly,ganahan niyang isulti to
anong ibig sabihin nito,what does this mean,unsay buot pasabot man ani
nagliligo siya bawat umaga,he takes a bath every morning,nagaligo siya kadabuntag
huwag kang masyadong kumain ng keyk,don t eat too much cake,ayaw palabi kaon og keyk
gusto mo nitong kulay,do you like this color,ganahan ka ani nga kolor
kailan ang pinakahuling beses na tumalon ka sa tuwa,when was the last time you jumped for joy,kanus a ka ulahing niambak sa kalipay
gumawa siya ng kape para sa lahat kami,he made coffee for all of us,gahimo siyag kape alang sa tanan namo
gumawa siya ng kape para sa lahat tayo,he made coffee for all of us,gahimo siyag kape alang namong tanan
mabili ang mga payong,umbrellas are available for purchase,mapalit ang mga payong
ang yabang,the arrogance,kahambog ba
ang arogante,the arrogant,ka hilas ba
baka baka,maybe maybe,basin basin
dapat labhan yung syert,the shirt should be washed,dapat labhan tong syert
dapat labhan yung baro,the bar should be washed,dapat labhan tong baro
ang aneks ay nasa hilaga ng orihinal na gusali,the annex is to the north of the original building,ang aneks kay anaa sa kasadpan sa orihinal nga gusali
noong bata pa ako may itim na baboy na nakabakod sa tabi ng bahay namin,when i was young there was a black pig fenced next to our house,adtong bata pako naay itom nga baboy nga gialihan sa tapad sa balay
matutuloy tayo kung ang trapik ay di mabigat,we can continue if the traffic is not heavy,madayon ta kung ang trapik dili kaayo bug at
maaari maaari,can can,pwede pwede
may platinum kard daw siya,he said he has a platinum card,naa daw siya platinum nga kard
nag imbento ang bata ng sarili niyang sulat na logograpiko para sa hilig niya,the boy invented his own logographic writing for his passion,nag imbento ang bata og sariliniyang sulat nga logograpiko pasa sa hilig niya
arteng grapiko lamang daw ang mga sulat na logograma,it is said that logogram letters are only graphic art,arteng grapiko ra daw ang mga sulat nga logograma
di makontrol ni ang mga anak niya,could not control his children,dili mapugngan ni ang iyang mgha anak
alam kong ikaw nga,i know you are,kabalo ko nga ikaw to
mas gusto ko sa bahay kaysa sa lumabas,i prefer to be at home than to go out,mas ganahan ko sa balay kaysa sa mugawas
di pa oras ng hapunan,it s not dinner time yet,dili pa ta mangaon og panihapon
puno iyan,that s full,puno na
puno iyon,that s full,puno to
mas magaling ba ang wikang lojban kung iniiwasan ang mga punto,is the lojban language better if the dots are avoided,mas hawod ba ang pinulungang lojban kung likayan ang mga punto
mesa iyon,it s a table,lamesa kana
mesa iyan,that s a table,lamesa na
ang pakiramdam ni ay bago siyang tao,feels like a new person,ang paminaw ni tomaskay bag ong tawo na siya
nagbeyk si kate ng apolkeyk,kate baked an apple cake,nagbeyk si kate og apol keyk
hayaan mo akong litratuhin ka,let me take a picture of you,pasagdi ko nga kuhaan kag hulagway
nagpuntang bundok kami para mag iski,we went to the mountain to ski,niadto mig bukid aron mag iski
nangingilabot ako nang iniisip iyon,i shudder to think about it,nanglimbawot ko sa akong paghuna huna
isipin mo ang sarili mo,think about yourself,huna hunaa ang imong kaugalingon
humihihip ng bula ang mga bata,children blow bubbles,gahuyop og bula ang mga bata
meron pa sa buhay imbes na pinabibilisan siya,there s more to life instead of rushing him,naay pay kinabuhi imbes nga gipaspasan siya
huwag mong lagyan ng asukal ang kape,do not add sugar to coffee,ayaw butangi og asukar ang kape
sumasabog na ako ng ihi,i m bursting with urine,kabutuhon nako kaayo sa akong kaihion
si ginoong brown yata siya,i think he is mr brown,siya man siguro si manong brown
nilagyan ko ng gatas ang kape ko,i put milk in my coffee,gisagulan nako og gatas ang akong kape
bumalik na ang mga estudyante,the students are back,namalik na ang mga estudyante
ang numero ng kuwarto ninyo po,your room number please,ang numero ni sa inyong kwarto po
sa pagbalik ng taglamig umiikli na ang araw,with the return of winter the days are getting shorter,sa pagbalik sa tingtugnaw nagamubo na ang adlaw
namumula sa otonyo ang buong bundok,the whole mountain was red from the heat,nangapula sa otonyo ang tibuok bukid
namumula sa tag ulan ang buong bundok,the whole mountain is red from the rainy season,nangapula sa ting ulan san tibuok bukid
gaano kahaba ang tulay,how long is the bridge,unsa kataas ang tulay
noldor kami,we are noldor,noldor man mi
ako si,i am hiziel,ako si
isa ka ba sa mga sindar,are you one of the sindars,isa ba ka sa mga sindar
isang noldo ba ang nasa ilalim ng puno,is a noldo under the tree,usa ka noldo ba ang naa sa ilalom sa punuan
di ako marunong magsalita ng kwenya,i don t know how to speak kwenya,dili ko kabalong mag istorya og kwenya
nagbabantay ng gubat sina at nenwð,and nenwð guard the forest,gabantay ug lasang sila ug nenwe
gumagamit ng mga letrang may kudlit ang maraming wika,many languages use apostrophes,gagamit ug mga letra nga anaay kudlit ang kadaghanang sinultian
pranses ako,i am french,ako kay pranses
nakita ko siyang nagnanakaw ng peras sa hardin ng bunga,i saw him stealing pears from the orchard,kakita ko kaniya nga nangawat ug peras sa tamnanan ug bunga
nang kasama kami gusto mong magtsa sa tanghali,when we were together would you like to have tea at noon,katong kita nag uban ganahan ka magtsa sa udto
di puwedeng gutom siya katatanghalian lamang niya,he can t be hungry he just had lunch,dili mamahimong gigutom siya bag o lang siya naniudto
wag mong pag usapan to kahit kanino,don t talk about it with anyone,ayaw ni hisguti masking kakinsa
nasa ref ang pagkain,the food is in the fridge,anaa sa sulod sa prigeder ang pagkaon
ang dalawang ulong agila ng awstriya ay naghari sa parte ng polonya,the two headed eagle of austria reigned over poland,ang duha ka ulo sa agila sa awstriya kay nangulo sa parte sa polonya
namili si ng bulaklak,bought flowers,ningpalit ug daghang bulak si
bumili si ng bulaklak,bought flowers,ningpalit ug bulak si
dumating ka ba noong kamakalawa,did you come last night,niabot ka ba atong niaging adlaw
kumanan sa susunod na interseksiyon,turn right at the next intersection,patoo sa musunod nga kinasang ang dalan
ipinaggawa ako ni ng hawla ng ibon,made me a bird cage,gipabuhat ko ni ug tangkal sa langgam
bawal manigarilyo,no smoking,ginadili ang pagpanabako
bukas pauwi na ako,tomorrow i m going home,ugma pauli na ko
gusto ko ang awto mo,i like your car,giganahan ko sa imong awto
di na ako makakain,i can t eat anymore,di nako kakaon
nadiskubre ko ang katotohanan,i discovered the truth,nahibaw an ko ang kamatuoran
walang mas mapakinabang kaysa sa potokopyador,nothing is more useful than a photocopier,walay mas mapahimuslan kaysa sa makina sa pagkopya
ineeym namin ang obhektibong iyon,we aim for that objective,gitinguha namo nga makab ot ang katuyoan
madyik iyon,that s magic,kato kay madyik
bumalik ka bago mag alas diyes,be back before ten o clock,balik usa muabot ang alas diyes
papkorn na maraming mantikilya ang gusto ni,likes popcorn with a lot of butter,papkorn nga daghag mantikilya ang ganahan ni
itong gamot ay makakapagaling sa iyo,this medicine will heal you,kani nga tambal ang makapa ayo nimo
balak kong mag aral ng ingles nang itong tanghali,i intend to study english this afternoon,plano nakong magtuon ug ingles karong udto
mabilis at nakakatuwa,fast and fun,paspas ug kataw anan
kasisimula niyang magtugtog ng piyano,he just started playing the piano,bag o ra siya nagsugod og tutog sa piyano
dumaan ako sa tabi ng bahay niya kahapon,i passed by his house yesterday,niagi ko sa kilid sa ilang balay gahapon
kung mayaman ako bibilhin ko,if i were rich i would buy it,kung dato ko paliton nako
may telepono ka ba,do you have a phone,naa ba kay telepono
noong huli masyadong mahal ang karne,in the past meat was too expensive,katong ni agi astang mahala sa karne
ako o ikaw ang pupunta,you or i will go,ako o ikaw ang muadto
walang asukal dito,there is no sugar in it,walay asukal diri
wag kumain,don t eat,ayaw ug kaon
oo nga pero iyon,yes but that,oo nga pero iyon
pakinig ko ang lahat,i listen to everything,napaminaw nako tanan
mga pusa sina klabaster at gizmo,klabaster and gizmo are cats,sila klabster ug gizmo kay mga iring
maganda siya at talagang mayaman,she is beautiful and really rich,maanyag siya ug tinuod nga dato
umuulan,it s raining,gaulan
sabihin mo sa ingles,say it in english,ingna kini sa ingles
lumang piyano iyon,it s an old piano,dugay na to nga piyano
kay teodoro ang rosas,the rose belongs to teodoro,alang kang teodoro ang rosas
matahimik ang batang lalaki,the boy was quiet,hilumon nang batang laki
isang daang porsyentong puro ang katas ng mansanas,one hundred percent pure apple juice,usa ka gatus ka porsyento nga puro ang katas sa mansanas
ang tunay na lalaki ay umiinom ng tsa,real men drink tea,ang tinuod nga laki kay muinom ug tsa
libro mo ito,this is your book,imuha ning libro
sinong nagtuturo sa iyo,who teaches you,kinsay gatudlo ka nimo
wag mong sabihin kahit kanino,don t tell anyone,ayaw isulti bisan ka kinsa
nakahiga ako sa damo,i lay on the grass,naghigda ko sa sagbot
may kumakatok sa inyong pinto,someone is knocking on your door,adunay nanuktok sa inyong purtahan
anong kabutihan ng pagbabasa ng mga librong ganoon,what good is reading such books,unsay maayo sa pagbasa ug inganang libro
ibili mo ako ng kahon ng tsokolate at ako y magiging kontento,buy me a box of chocolates and i ll be satisfied,palita ako usa ka kahon nga tsokolate ug matagbaw ako
nakita ka niya sa teatro,he saw you at the theater,nakit an ka niya sa teatro
nakakabilang ang bata hanggang dalawampu,the child counts to twenty,ang bata kay makaihap hangtod baynte
kung may sipon inumin itong gamot ho,if you have a cold take this medicine,kung adunay ka bugnaw inom niini nga tambal
gusto kong siya ang gumawa ng mahirap na trabaho,i want him to do the hard work,ganahan ko nga siya ang mubuhat atong hago nag buluhaton
di niya ako pinakikinig ng kanyang bibig,he didn t listen to me with his mouth,dili ko niya ginapaminaw sa iyang mga istorya
