label,language,source,text
food,tl,wikipedia_tl,"ang adobo (mula sa kastilang : ""inatsara"" o ""kinilaw"") ay isa sa mga pinakasikat na ulam at paraan ng pagluluto sa lutuing pilipino. nilalaman ito ng karne, lamang dagat, o gulay na ibinababad sa haluan ng suka, toyo, bawang, dahon ng laurel, at paminta. ipiniprito muna ang karneng sangkap bago pakuluan sa tinimplang sabaw. natuturing ito paminsan-minsan bilang di-opisyal na pambansang lutuin ng pilipinas. kasaysayan katutubo ang lutong adobo sa pilipinas. kadalasan, iniluto o inihanda ng mga iba't ibang taong prekolonyal ang kani-kanilang pagkain sa suka at asin upang mapreserba sa klimang tropikal. ang suka ay isa sa mga pinakamahalagang sangkap sa lutuing pilipino, na may apat na klase: tuba (mula sa niyog), basi (mula sa tubo), sasa, at kaong. may koneksyon itong lahat sa tradisyonal na permentasyon ng alkohol . sa pilipinas, mayroong apat na pangunahing lutong-suka ayon sa tradisyon: kinilaw (hilaw na lamang-dagat sa suka at espesya), paksiw (sinabawang karne na may suka at espesya), sangkutsa (bahagyang pagluluto ng karne sa suka at espesya), at sa huli adobo (isang sabaw na may suka, bawang, asin/toyo, at iba pang espesya). pinaniniwalaan na nagmula ang paksiw, sangkutsa,"
food,tl,wikipedia_tl,"ang sinigang ay isang lutuin at pagkaing pilipino na kilala para sa maasim at malinamnam na lasa nito. madalas na nauugnay ito sa sampalok, ngunit maaaring gumamit ng mga ibang maaasim na prutas at dahon, katulad ng kamyas, o bayabas bilang pampaasim. isa ito sa mga pinakasikat na ulam sa lutuing pilipino. kadalasang sinasabayan ng kanin ang sabaw. noong 2021, minarkahan ng tasteatlas ang sinigang bilang ang pinakamagandang sabaw na gulay. pinagmulan nanggaling ang pangalan nito sa pandiwang sigang sa wikang tagalog. habang laganap ito sa buong bansa, inaakala na nagmula ito sa kulturang tagalog. kaya itinuturing na ibang uri ng pagkain ang mga kahawig na sabaw sa visayas at mindanao (tulad ng linarang), at nag-iiba rin ang mga ginagamit na sangkap. karaniwang nilalagyan ang sabaw ng patis bilang kondimento. mga sangkap sa modernong panahon, madalas na nauugnay ang sinigang sa sampalok, ngunit dati tumukoy ito sa anumang karne o lamang-dagat na niluto sa maasim at asidong sabaw, kahawig ng ngunit naiiba mula sa paksiw (na gumagamit ng suka). sa mga ibang baryasyon nitong ulam, kinukuha ang asim mula sa mga katutubong sangkap. kabilang sa mga pampaasim na ito ang hilaw na mangga,"
food,tl,wikipedia_tl,"ang lutuing pilipino ay ang pinagsama samang lutuin ng iba’t ibang mga pangkat etniko ng pilipinas. naimpluwensiyahan ito ng mga lutuin ng mga tsino, kastila, at mga amerikano. ipinapakita sa lutong pilipino ang kasaysayan ng pilipinas. lumitaw ang pagiging katangi-tangi at kaiba nito mula sa pagkakaroon ng batayan ng mga sangkap na malay, intsik, hindu, kastila, at amerikano. ang katutubo talagang pagkaing pilipino ay malapit sa mga katutubong lutuin sa indonesia, malaysiya, thailand, at ibang mga bansa sa asya. isa sa nakaugaliang gawi sa pagkain ng mga pilipino ang pagkakamay o paghuhugis-bilog ng kanin sa pamamagitan ng mga daliri habang pinipisil sa plato bago isubo sa bibig. paglalarawan hindi gaanong may panimpla o pampalasa ang talagang mga katutubong lutuing pilipino bagaman maraming makukuhang mga pampalasa o panimpla sa pilipinas. pinakapayak na pagkain sa bansa ang kanin o nilutong bigas. pangunahing napagkukunan ng protina ang isda, ngunit karaniwan din ang pagkain ng karne ng baboy at manok. mayroon ding kumakain ng bibe. mayroon din karne ng baka sa bansa subalit mas mataas ang halaga ng karneng sapagkat hindi gaanong napapaunlad ang industriya nito. hindi bantog"
food,tl,wikipedia_tl,"ang ay isang lutuing hapones na binubuo ng hinandang kaning may suka (鮨飯 sushi-meshi), kadalasang may kaunting asukal at asin, kasama pa ng mga iba't ibang kasangkapan (ネタ neta), katulad ng pagkaing-dagat, gulay, at paminsan-minsan tropikal na prutas. nag-iiba ang mga estilo ng sushi at anyo ng kanyang presentasyon ngunit ang lahat ng sushi ay may ""kaning sushi"" na tinatawag na shari (しゃり) o sumeshi (酢飯). hindi na ginagamit ang salitang sushi sa kanyang orihinal na konteksto; ""maasim"" ang literal na kahulugan nito. tradisyunal na binubuo ang sushi ng kaning puti na may katamtamang butil, ngunit maaari itong ihanda gamit ang kaning kayumanggi o kaning may maikling butil. kadalasang inihahanda ito kasama ng pagkaing-dagat, katulad ng pusit, igat, yellowtail, salmon, tuna, o crab stick. pangugulayin ang mararaming sushi. madalas na inihahain ito kasama ng gari, wasabi, at toyo. tanyag na palamuti ng putahe ang daikon (takuan). ikinalilito minsan ang sushi bilang sashimi, isang kaugnay na ulam sa lutuing hapones na binubuo ng hinating isda na ihinaing hilaw, minsan karne, na ipinapares sa kanin (opsyonal). kasaysayan nagmumula ang sushi sa timong-silangang asya, kilala ngayon bilang"
food,tl,wikipedia_tl,"ang satay o sate (baybay ng kbbi: satai) ay ang pagkain na ginawa mula sa maliliit na piraso ng karne na tinusok sa paraang pagbutas ng mga dahon ng niyog o kawayan at pagkatapos ay inihaw gamit ang mga uling na karbon ang satay ay may iba't ibang pampalasa na umaasa sa mga pagkakaiba-iba sa mga paraan ng pagluluto ng satay. ang karne na ginamit bilang satay ay kinabibilangan ng manok, kambing, tupa, karne ng baka, karne ng baboy, kuneho, kabayo, at iba pa. ang satay ay kilala na nagmula sa java, indonesia, at matatagpuan sa kahit saan sa indonesia at itinuturing na isa sa mga lutuing pambansang indonesia. ang satay ay popular din sa iba pang mga bansa sa timog-silangang asya tulad ng malaysia, singapore, pilipinas at thailand . ang satay ay popular din sa netherlands na naiimpluwensyahan ng lutuing indones na dating kani-kanilang mga kolonya. ang satay ay isang popular na ulam sa indonesia; na may iba't ibang grupo ng etniko at tradisyon ng sining ng pagluluto (tingnan ang lutuing indonesia) ay gumawa ng iba't ibang uri ng satay. sa indonesia, ang satay ay maaaring makuha mula sa mga naglalakbay na mangangalakal ng satay, mga pedagang kaki lima sa mga kuwartel sa tabi ng daan, sa"
food,tl,wikipedia_tl,"{{infobox person |name = hesus |image = stjohnsashfield stainedglass goodshepherd-frame crop.jpg|alt=jesus as good shepherd. |caption = si hesus bilang mabuting pastol (stained glass at st john's ashfield) |birth_date = 7–2 bc/bce |language = aramaiko, griyego koine |birth_place = judaea, imperyo romano |death_place = judaea, imperyo romano |death_date = 30–36 ad/ce |death_cause = pagpapako sa krus<ref name=jdunn339>'jesus remembered by james d. g. dunn 2003 isbn 0-8028-3931-2 page 339</ref> |ethnicity = hudyo |home_town = nazareth, galilee }} si hesus (griyego: ἰησοῦς iesous; 7–2 bce hanggang 30–36 ce) ang itinuturing ng maraming kristiyano na sentrong katauhan ng relihiyong kristiyanismo at ang tagapagtatag ng kristiyanismo. siya ay pinaniniwalaan ng maraming mga kristiyano na isang tagapagligtas at mesiyas ng hudaismo. ang apat na kanonikal na ebanghelyo nina mateo, marcos, lucas, at juan ang mga pangunahing sanggunian tungkol sa talambuhay at mga katuruan ni hesus. gayunpaman, pinagtatalunan pa rin ng mga skolar ng bagong tipan kung ang apat na ebanghelyong ito ay maasahang mga salaysay ng buhay ni hesus o hindi, gayundin kung sino ang mga tunay na may akda nito, kung kailan"
food,tl,wikipedia_tl,"ang anapilaksis o anapilaksiya, na nakikilala sa ingles bilang anaphylaxis, ay isang seryosong reaksiyong nagdudulot ng alerhiya na biglang nagsisimula at maaaring magdulot ng kamatayan. ang anapilaksis ay karaniwang mayroong bilang ng mga sintomas na kinabibilangan ng isang makating pantal, pamamaga ng lalamunan, at mababang presyon ng dugo. ang karaniwang mga sanhi ay kinabibilangan ng mga kagat ng kulisap, mga pagkain, at mga gamot. ang anapilaksis ay sanhi ng paglabas ng mga protina mula sa ilang uri ng mga puting selula ng dugo. ang mga protinang ito ay mga bagay na maaaring mag-umpisa ng isang reaksiyong nagdurulot ng alerhiya o maaaring mas palubhain ang reaksiyon. ang kanilang paglabas ay maaaring naging sanhi ng isang reaksiyon sa sistema ng katawan na panlaban sa sakit o sa pamamagitan ng isa pang sanhi na walang kaugnayan sa sistema ng katawan na panlaban sa sakit. ang anapilaksi ay sinusuri batay sa mga palatandaan at mga sintomas ng isang tao. ang pangunahing paggamot ay ang pag-iniksiyon ng epinephrine, na kung minsan ay isinasama sa ibang mga gamot. sa buong mundo, humigit-kumulang 0.05-2% ng mga tao ay nagkaroon ng anapilaksis sa ilang pagkakataon ng kanilang"
food,tl,wikipedia_tl,"ito ay ang talaan ng mga kabanata ng noli me tángere ni jose rizal, pati na rin ang mga buod nito. 1: isang pagtitipon sa kabanatang ito, naglalarawan si rizal ng pagbabalik ni crisostomo ibarra sa pilipinas matapos ang pitong taon niyang pag-aaral sa europa. bumalik siya upang ipagpatuloy ang kanyang mga pangarap para sa kanyang bayan. nang dumating siya sa maynila, dinala siya ni don rafael ibarra, ang kanyang ama, sa bahay ng kanilang kaibigan na si kapitan tiago. dito, ginanap ang isang malaking salu-salo sa kanyang pagbabalik. sa salu-salo, ipinakita ang kalagayan ng mga mayayamang espanyol at mga pilipinong elitista na nagmula sa mga panginoong maylupa at nasa malalayong lalawigan ng pilipinas. sa kabila nito, ipinakita rin ni rizal ang kahirapan at paghihirap ng mga magsasaka at karaniwang mamamayan. sa salu-salo, nakilala ni ibarra ang ilang mga tauhan na magiging mahalagang bahagi ng kwento, tulad ni padre damaso, ang paring franciscan na kilala sa kanyang malupit na pagtrato sa mga pilipino, at maria clara, ang anak ni kapitan tiago na nagustuhan ni ibarra. natuklasan din ni ibarra na ang kanyang ama ay namatay sa bilangguan dahil sa isang gawa-gawang kaso na isinampa"
food,tl,wikipedia_tl,"ang serotonin o 5-hydroxytryptamine o 5-ht ay isang monoaminong neurotransmitter na nabubuo mula sa tryptophan. ang serotonin ay pangunahing matatagpuan sa gastrointestinal, platelet, at sa gitnang sistemang nerbiyos (cns) ng mga hayop kabilang ang mga tao. ang serotonin ay nagpapagana (activate) ng pitong reseptor na 5-ht na matatagpuan sa membrano ng mga neuron. ang pagpapaganang ito ng mga reseptor na 5 ht sa neuron ay responsable sa magandang pakiramdan at sa kasiyahan sa isang tao. ang pangunahing pinagmumulan ng serotonin sa utak ng tao ang raphe nuclei. mga tungkulin ang serotonin ay isang neurotransmitter at matatagpuan sa lahat ng mga hayop na bilateral kung saan nagsisilbing tagapamagitan ito sa pagkilos ng gut ng mga hayop at sa persepsiyon (pagtanto) ng hayop sa mahahanap na mapagkukunan (resources). sa mga pinakasimpleng mga hayop, ang mapagkukunan ay katumbas ng pagkain ngunit sa mas sulong (advanced) na mga hayop gaya ng artropoda at bertebrata, ang mapagkukunan ay maaari ring mangahulugan na pagiging dominante sa pakikisalamuha sa ibang mga tulad na hayop. bilang tugon sa natantong kasaganaan o kakulangan ng mga mapagkukunan, ang paglaki ng hayop, reproduksiyon o"
food,tl,wikipedia_tl,"ang ay isang ulam sa bansang hapon na karaniwang binubuo ng pagkaing-dagat o gulay na ibinabad sa batter at pinirito. ipinakilala ang ulam ng mga portuges sa nagasaki noong ika-16 siglo sa pamamagitan ng mga teknika ng pagluluto ng fritter. nagmula ang salitang tempura sa salitang tempora sa wikang latin, na tumutukoy sa mga oras ng pag-aayuno kung kailan idinikta ng simbahan sa mga katoliko na umiwas sa karne. paghahanda batter sinasangkapan ang batter ng malamig na tubig, itlog, at malambot na harinang trigo (pangkeyk, pampastry o panlahatan). minsan idinaragdag ang sodang panghurno o pulbos panghurno para gumaan ang fritter. kahawig ang epekto kung ginamit ang makinang na tubig sa halip na simpleng tubig. tradisyonal na hinahalo ang tempura batter sa mga maliliit na batch gamit ang tsapstiks nang iilang segundo lamang, na nag-iiwan ng mga limpak sa timpla na, kasabay ng malamig na temperatura ng batter, nagreresulta sa kakaibang lambot at lutong ng tempura kapag niluto. madalas na pinananatiling malamig ang batter sa pagdagdag ng yelo, o sa paglagay ng mangkok sa mas malaking mangkok na may yelo sa loob nito. kapag sumobra ang paghahalo ng batter, maaaktiba ang gluten ng trigo,"
