model,topic_id,is_outlier,name,document_count,top_terms,term_weights
bertopic_en,-1,True,-1_he_what_that_is,2995,"he, what, that, is, it, the, to, his, be, him",he:0.004256; what:0.004127; that:0.003967; is:0.003932; it:0.003832; the:0.003742; to:0.003734; his:0.00366; be:0.003609; him:0.003544
bertopic_en,0,False,0_come_back_meeting_tomorrow,222,"come, back, meeting, tomorrow, arrived, here, go, arrive, will, airport",come:0.06029; back:0.032922; meeting:0.025731; tomorrow:0.024508; arrived:0.022552; here:0.021656; go:0.021404; arrive:0.021216; will:0.018276; airport:0.015439
bertopic_en,1,False,1_do_that_didn_can,102,"do, that, didn, can, did, it, fix, want, why, myself",do:0.04741; that:0.028641; didn:0.025994; can:0.024025; did:0.020168; it:0.015568; fix:0.013024; want:0.01225; why:0.0117; myself:0.011584
bertopic_en,2,False,2_book_books_read_reading,97,"book, books, read, reading, library, thick, brought, return, as, those",book:0.13155; books:0.08306; read:0.058971; reading:0.039493; library:0.030486; thick:0.021886; brought:0.019674; return:0.017998; as:0.016546; those:0.016002
bertopic_en,3,False,3_see_saw_seen_looked,94,"see, saw, seen, looked, him, noticed, find, them, found, notice",see:0.100387; saw:0.099938; seen:0.054894; looked:0.034336; him:0.033425; noticed:0.031123; find:0.030942; them:0.025998; found:0.024397; notice:0.020748
bertopic_en,4,False,4_jupiter_moon_surface_planet,91,"jupiter, moon, surface, planet, neptune, beyond, planets, ðc, ice, venus",jupiter:0.057116; moon:0.051574; surface:0.041107; planet:0.040938; neptune:0.037136; beyond:0.037136; planets:0.034795; ðc:0.03235; ice:0.030701; venus:0.030384
bertopic_en,5,False,5_died_dead_killed_suicide,89,"died, dead, killed, suicide, committed, hit, shot, body, betty, gunshot",died:0.068562; dead:0.062842; killed:0.058931; suicide:0.040887; committed:0.03736; hit:0.031641; shot:0.029888; body:0.028132; betty:0.02544; gunshot:0.02544
bertopic_en,6,False,6_japan_japanese_tokyo_kyoto,87,"japan, japanese, tokyo, kyoto, adil, chinese, been, wiener, born, shanghai",japan:0.083282; japanese:0.079661; tokyo:0.055651; kyoto:0.030069; adil:0.020214; chinese:0.02006; been:0.017292; wiener:0.01728; born:0.015725; shanghai:0.015698
bertopic_en,7,False,7_waited_wait_waiting_moment,75,"waited, wait, waiting, moment, minute, hesitated, for, just, kept, long",waited:0.161043; wait:0.157188; waiting:0.087817; moment:0.063702; minute:0.036976; hesitated:0.028935; for:0.028016; just:0.024864; kept:0.023283; long:0.022398
bertopic_en,8,False,8_rain_rained_raining_weather,72,"rain, rained, raining, weather, sky, storm, heavily, it, heavy, city",rain:0.113485; rained:0.088168; raining:0.075043; weather:0.047755; sky:0.033227; storm:0.031287; heavily:0.0292; it:0.0282; heavy:0.0245; city:0.021445
bertopic_en,9,False,9_apple_apples_fruit_pears,69,"apple, apples, fruit, pears, bush, juice, pear, trees, saucepan, garden",apple:0.072803; apples:0.068857; fruit:0.068271; pears:0.063871; bush:0.03666; juice:0.035618; pear:0.034625; trees:0.032658; saucepan:0.030379; garden:0.030013
bertopic_en,10,False,10_language_english_speak_languages,67,"language, english, speak, languages, native, learning, spanish, learn, messy, arabic",language:0.12351; english:0.091643; speak:0.045826; languages:0.035414; native:0.032292; learning:0.027349; spanish:0.023062; learn:0.019106; messy:0.018324; arabic:0.018324
bertopic_en,11,False,11_call_called_phone_calling,66,"call, called, phone, calling, later, cell, contact, someone, number, tomorrow",call:0.157442; called:0.111398; phone:0.103712; calling:0.051315; later:0.038123; cell:0.030789; contact:0.025543; someone:0.022511; number:0.020526; tomorrow:0.018947
bertopic_en,12,False,12_sleeping_wake_asleep_up,62,"sleeping, wake, asleep, up, sleep, woke, awake, snores, sleeps, early",sleeping:0.109303; wake:0.109303; asleep:0.066192; up:0.062362; sleep:0.062054; woke:0.061468; awake:0.051229; snores:0.048385; sleeps:0.048385; early:0.038333
bertopic_en,13,False,13_sick_cold_passed_coughed,62,"sick, cold, passed, coughed, dizzy, cough, sneezed, ill, fever, illness",sick:0.124887; cold:0.07061; passed:0.054339; coughed:0.051607; dizzy:0.051607; cough:0.037674; sneezed:0.037674; ill:0.037674; fever:0.034405; illness:0.034405
bertopic_en,14,False,14_money_paid_pay_dollars,59,"money, paid, pay, dollars, enough, much, debt, owe, have, gave",money:0.147453; paid:0.097895; pay:0.077052; dollars:0.045481; enough:0.043841; much:0.029872; debt:0.029679; owe:0.029679; have:0.025016; gave:0.023597
bertopic_en,15,False,15_dog_dogs_barking_bigger,57,"dog, dogs, barking, bigger, bone, allowed, truck, over, stone, unknown",dog:0.221943; dogs:0.074363; barking:0.049928; bigger:0.031029; bone:0.029302; allowed:0.024964; truck:0.023578; over:0.021519; stone:0.020686; unknown:0.016836
bertopic_en,16,False,16_talk_hear_talking_talked,54,"talk, hear, talking, talked, speak, to, want, modestly, softly, conversation",talk:0.201237; hear:0.039359; talking:0.032704; talked:0.03269; speak:0.023501; to:0.020781; want:0.020393; modestly:0.017737; softly:0.017737; conversation:0.017737
bertopic_en,17,False,17_leave_stay_leaving_stayed,54,"leave, stay, leaving, stayed, chose, alone, few, away, without, resign",leave:0.219106; stay:0.115894; leaving:0.046105; stayed:0.044506; chose:0.042862; alone:0.040846; few:0.038588; away:0.029677; without:0.027658; resign:0.025016
bertopic_en,18,False,18_crying_cry_cried_tears,54,"crying, cry, cried, tears, congratulate, stop, sad, story, miserable, filipina",crying:0.154109; cry:0.146116; cried:0.107929; tears:0.080023; congratulate:0.044364; stop:0.027804; sad:0.024775; story:0.018685; miserable:0.018608; filipina:0.018608
bertopic_en,19,False,19_ask_answered_answer_question,52,"ask, answered, answer, question, favor, questions, asked, why, won, replied",ask:0.174369; answered:0.118169; answer:0.117704; question:0.096571; favor:0.081489; questions:0.081489; asked:0.049697; why:0.02926; won:0.028424; replied:0.027478
bertopic_en,20,False,20_watch_buy_bought_store,51,"watch, buy, bought, store, camera, sell, supermarket, where, cigarettes, shop",watch:0.082845; buy:0.063487; bought:0.062519; store:0.058229; camera:0.055037; sell:0.039535; supermarket:0.035915; where:0.03312; cigarettes:0.032798; shop:0.031832
bertopic_en,21,False,21_blue_color_colors_black,51,"blue, color, colors, black, red, chose, tail, suits, white, yellow",blue:0.15088; color:0.124495; colors:0.072812; black:0.064199; red:0.063326; chose:0.042068; tail:0.036406; suits:0.036406; white:0.035841; yellow:0.033304
bertopic_en,22,False,22_chocolate_cream_ice_candy,51,"chocolate, cream, ice, candy, tammy, cotton, store, flavored, dennis, chocolates",chocolate:0.131367; cream:0.113248; ice:0.096562; candy:0.094845; tammy:0.057844; cotton:0.039389; store:0.031079; flavored:0.028755; dennis:0.028755; chocolates:0.028755
bertopic_en,23,False,23_table_mirror_windows_triangular,49,"table, mirror, windows, triangular, doors, room, square, restaurant, round, there",table:0.103477; mirror:0.080354; windows:0.065603; triangular:0.051849; doors:0.04966; room:0.048677; square:0.043561; restaurant:0.041554; round:0.039984; there:0.031585
bertopic_en,24,False,24_run_ran_fast_hurry,49,"run, ran, fast, hurry, running, away, rush, slow, fasting, rushing",run:0.188509; ran:0.139413; fast:0.136187; hurry:0.100175; running:0.100175; away:0.060963; rush:0.053664; slow:0.045719; fasting:0.030833; rushing:0.030833
bertopic_en,25,False,25_french_speak_france_teaches,49,"french, speak, france, teaches, africa, teachers, learning, colonies, haiti, held",french:0.235466; speak:0.074226; france:0.045889; teaches:0.042881; africa:0.02968; teachers:0.027689; learning:0.022149; colonies:0.018674; haiti:0.018674; held:0.018674
bertopic_en,26,False,26_win_won_wins_lost,46,"win, won, wins, lost, winner, lose, victory, game, hope, trap",win:0.159487; won:0.12468; wins:0.109981; lost:0.08981; winner:0.088418; lose:0.087975; victory:0.058945; game:0.058665; hope:0.041559; trap:0.037086
bertopic_en,27,False,27_dinner_eaten_lunch_haven,45,"dinner, eaten, lunch, haven, yet, restaurant, eating, ate, had, postpone",dinner:0.144204; eaten:0.135222; lunch:0.12062; haven:0.109536; yet:0.078335; restaurant:0.039186; eating:0.033624; ate:0.028991; had:0.025552; postpone:0.023466
bertopic_en,28,False,28_accident_pain_blind_wound,44,"accident, pain, blind, wound, hurt, bleeding, eye, truck, hurts, blood",accident:0.09497; pain:0.089463; blind:0.073768; wound:0.056054; hurt:0.043346; bleeding:0.031808; eye:0.031808; truck:0.028027; hurts:0.026688; blood:0.022978
bertopic_en,29,False,29_house_barn_saving_lives,44,"house, barn, saving, lives, garage, owner, sell, built, karate, floors",house:0.176008; barn:0.035096; saving:0.035096; lives:0.033971; garage:0.03205; owner:0.03205; sell:0.025755; built:0.023917; karate:0.020165; floors:0.020165
bertopic_en,30,False,30_cat_cats_mouse_under,43,"cat, cats, mouse, under, chased, black, table, luck, missing, feed",cat:0.214042; cats:0.092881; mouse:0.071968; under:0.070803; chased:0.060959; black:0.038392; table:0.035991; luck:0.030479; missing:0.025257; feed:0.024381
bertopic_en,31,False,31_cake_mango_living_making,43,"cake, mango, living, making, ube, let, blueberry, chocolate, delicious, her",cake:0.264704; mango:0.061189; living:0.050485; making:0.049379; ube:0.046652; let:0.037405; blueberry:0.035915; chocolate:0.03516; delicious:0.033326; her:0.032953
bertopic_en,32,False,32_brother_brothers_older_cousins,43,"brother, brothers, older, cousins, cousin, sister, sisters, jane, my, father",brother:0.187283; brothers:0.064989; older:0.057776; cousins:0.052247; cousin:0.048742; sister:0.036318; sisters:0.034831; jane:0.032494; my:0.032002; father:0.029965
bertopic_en,33,False,33_afraid_nervous_scared_tribe,43,"afraid, nervous, scared, tribe, because, cats, anxious, spiders, idols, smarter",afraid:0.233588; nervous:0.085776; scared:0.080366; tribe:0.041956; because:0.028098; cats:0.024205; anxious:0.024106; spiders:0.024106; idols:0.024106; smarter:0.024106
