model,topic_id,is_outlier,name,document_count,top_terms,term_weights
bertopic_tri,-1,True,-1_that_why_don_me,2978,"that, why, don, me, my, have, can, what, sakit, lalaki",that:0.004305; why:0.00408; don:0.003779; me:0.003735; my:0.003572; have:0.003557; can:0.003528; what:0.003514; sakit:0.003309; lalaki:0.003281
bertopic_tri,0,False,0_him_his_niyang_kaniya,659,"him, his, niyang, kaniya, sinabi, sulat, maayo, iya, maayos, nakita",him:0.02574; his:0.016707; niyang:0.010066; kaniya:0.009451; sinabi:0.008274; sulat:0.00821; maayo:0.007169; iya:0.007008; maayos:0.007008; nakita:0.006963
bertopic_tri,1,False,1_understand_never_won_totoo,247,"understand, never, won, totoo, believe, yet, masabtan, haven, don, importante",understand:0.025588; never:0.022762; won:0.021953; totoo:0.020967; believe:0.019598; yet:0.01831; masabtan:0.017877; haven:0.017155; don:0.016901; importante:0.015183
bertopic_tri,2,False,2_planeta_planet_planetang_marte,221,"planeta, planet, planetang, marte, hupiter, moon, tiyera, bulan, venus, jupiter",planeta:0.035648; planet:0.02875; planetang:0.028474; marte:0.027818; hupiter:0.027048; moon:0.021869; tiyera:0.02173; bulan:0.021061; venus:0.020736; jupiter:0.018794
bertopic_tri,3,False,3_ingles_english_wika_language,111,"ingles, english, wika, language, sinultian, speak, filipino, pinulungan, inengles, pilipino",ingles:0.106383; english:0.078362; wika:0.057201; language:0.056866; sinultian:0.036752; speak:0.034533; filipino:0.030834; pinulungan:0.018881; inengles:0.018346; pilipino:0.018346
bertopic_tri,4,False,4_busog_ran_benny_tumakbo,98,"busog, ran, benny, tumakbo, degas, lynn, osaka, edgar, hi, tistingan",busog:0.054951; ran:0.047782; benny:0.040473; tumakbo:0.039217; degas:0.038289; lynn:0.038289; osaka:0.038289; edgar:0.038289; hi:0.038289; tistingan:0.034366
bertopic_tri,5,False,5_namatay_patay_died_killed,92,"namatay, patay, died, killed, pinatay, die, dead, kill, gipatay, betty",namatay:0.09371; patay:0.070142; died:0.056373; killed:0.056168; pinatay:0.051243; die:0.044132; dead:0.043314; kill:0.041774; gipatay:0.04145; betty:0.04145
bertopic_tri,6,False,6_who_nagsulat_nagsabi_wrote,89,"who, nagsulat, nagsabi, wrote, nakahunahuna, found, hamlet, niue, radium, disneyland",who:0.136807; nagsulat:0.056581; nagsabi:0.048785; wrote:0.047218; nakahunahuna:0.039406; found:0.033235; hamlet:0.032928; niue:0.032928; radium:0.032928; disneyland:0.032928
bertopic_tri,7,False,7_libro_book_aklat_read,86,"libro, book, aklat, read, books, librong, libroha, tony, nabasa, aklatan",libro:0.139727; book:0.120259; aklat:0.094323; read:0.052816; books:0.051393; librong:0.036713; libroha:0.035732; tony:0.035527; nabasa:0.0333; aklatan:0.027792
bertopic_tri,8,False,8_nagluluto_nagaluto_sisig_tsitsaron,84,"nagluluto, nagaluto, sisig, tsitsaron, cooks, cooking, pansit, josh, wally, noodles",nagluluto:0.119397; nagaluto:0.112718; sisig:0.087149; tsitsaron:0.080481; cooks:0.077206; cooking:0.072969; pansit:0.072611; josh:0.067431; wally:0.060952; noodles:0.050296
bertopic_tri,9,False,9_school_estudyante_klase_paaralan,81,"school, estudyante, klase, paaralan, eskwelahan, edukasyon, students, class, teacher, magtutudlo",school:0.068574; estudyante:0.066629; klase:0.058638; paaralan:0.05772; eskwelahan:0.047191; edukasyon:0.045532; students:0.044882; class:0.039998; teacher:0.037406; magtutudlo:0.037406
bertopic_tri,10,False,10_kusina_kitchen_mhel_salad,75,"kusina, kitchen, mhel, salad, blanca, making, mel, maja, cooking, pangaon",kusina:0.200744; kitchen:0.14532; mhel:0.047209; salad:0.037358; blanca:0.034286; making:0.033404; mel:0.031544; maja:0.030745; cooking:0.029646; pangaon:0.027826
bertopic_tri,11,False,11_gwapa_beautiful_babaye_babae,74,"gwapa, beautiful, babaye, babae, tabitha, woman, women, tomboy, maganda, risa",gwapa:0.067825; beautiful:0.066993; babaye:0.064545; babae:0.060358; tabitha:0.059903; woman:0.051966; women:0.041428; tomboy:0.03752; maganda:0.036858; risa:0.035642
bertopic_tri,12,False,12_iro_aso_dog_dogs,74,"iro, aso, dog, dogs, asong, tumatahol, bato, barking, threw, stone",iro:0.175866; aso:0.162427; dog:0.15549; dogs:0.069938; asong:0.049759; tumatahol:0.029398; bato:0.02818; barking:0.024689; threw:0.022564; stone:0.021063
bertopic_tri,13,False,13_crying_umiyak_cry_cried,70,"crying, umiyak, cry, cried, umiiyak, iyak, luha, malungkot, tears, sad",crying:0.081539; umiyak:0.06745; cry:0.0662; cried:0.055182; umiiyak:0.050165; iyak:0.049776; luha:0.049776; malungkot:0.045662; tears:0.04557; sad:0.043461
bertopic_tri,14,False,14_leave_umalis_alone_inusara,69,"leave, umalis, alone, inusara, aalis, out, muhawa, stay, lumabas, biyaan",leave:0.112967; umalis:0.088015; alone:0.08083; inusara:0.053295; aalis:0.048139; out:0.048036; muhawa:0.035608; stay:0.035045; lumabas:0.034135; biyaan:0.032943
bertopic_tri,15,False,15_nakasabot_say_one_naiintindihan,68,"nakasabot, say, one, naiintindihan, understand, masabi, isulti, masulti, why, anuman",nakasabot:0.064514; say:0.060904; one:0.054002; naiintindihan:0.05318; understand:0.046097; masabi:0.037324; isulti:0.035236; masulti:0.035168; why:0.031645; anuman:0.030002
bertopic_tri,16,False,16_pakialam_labot_touch_don,67,"pakialam, labot, touch, don, guniti, hawakan, care, cares, buhata, worry",pakialam:0.09348; labot:0.07213; touch:0.071634; don:0.071592; guniti:0.066329; hawakan:0.059712; care:0.05548; cares:0.044429; buhata:0.040604; worry:0.037903
bertopic_tri,17,False,17_sleep_matulog_nakatulog_matutulog,60,"sleep, matulog, nakatulog, matutulog, tulog, natulog, asleep, bed, kama, matug",sleep:0.178113; matulog:0.170698; nakatulog:0.080949; matutulog:0.047049; tulog:0.046414; natulog:0.046414; asleep:0.04537; bed:0.04375; kama:0.04375; matug:0.041185
