text,language
Mas ganahang magdula ang mga bata kaysa sa magtoon.,cebuano
Mas gustong maglaro ang mga bata kaysa sa mag-aral.,tagalog
Children prefer to play than to study.,english
Perdu chemise folie suffire nom signer cesser.,other
Dapat lang nga mahibal-an nimo ang pagluto og manok.,cebuano
Dapat malaman mo ang pagluluto ng manok.,tagalog
You should know how to cook chicken.,english
Заложить хозяйка коричневый возмутиться слишком набор чем.,other
Pinakadako sa suba sa Hapon ang suba sa Biwa.,cebuano
Pinakalaki sa Hapon ang lawang Biwa.,tagalog
Biwa lake is the largest in Japan.,english
Occaecati sunt tempora qui unde quidem.,other
Ganahan sila nga magnostalya.,cebuano
Gusto nilang magnostalhiya.,tagalog
They want to be nostalgic.,english
Deserunt iure eligendi amet eos consequuntur velit iure.,other
Napulo ka tuig perting nang dugaya.,cebuano
Sampung taon ay matagal na panahon.,tagalog
Ten years is a long time.,english
Markt idee kleden schreeuw mogen rond.,other
Akong gisulayan og hinumdum.,cebuano
Sinusubukan kong tandaan.,tagalog
I'm trying to remember.,english
Libros luis resulta tenemos mujeres derecha.,other
Niadto siya sa Paris.,cebuano
Nagpuntang Paris siya.,tagalog
He went to Paris.,english
Déposer debout signer chasse inconnu assister gagner.,other
Nigawas na siya aron magbaktas baktas.,cebuano
Lumabas siya para maglakad.,tagalog
He went out for a walk.,english
Verhaal kosten nee zonder drinken punt.,other
Gipamatud-an nimo ang tanan nakong mga pangandoy.,cebuano
Pinatunayan mo ang lahat ng mga pangarap ko.,tagalog
You made all my dreams come true.,english
Wahr wieder dunkel.,other
Hiumaginit sa tapad sa bintana sa kusina ang mga buyog.,cebuano
Humahaginit sa tabi ng bintana sa kusina ang mga bubuyog.,tagalog
Bees are buzzing by the kitchen window.,english
月リフト式。,other
"Sa sugod, akua ning basahon.",cebuano
"Sa umpisa, babasahin ko ito.",tagalog
"In the beginning, I will read it.",english
Magnam fugit assumenda.,other
Wala ko panahon aron magluto.,cebuano
Wala akong oras magluto.,tagalog
I don't have time to cook.,english
Sed tenetur a.,other
Ganahan niyang isulti to.,cebuano
Pabiro niyang sinabi iyon.,tagalog
He said that jokingly.,english
建築溝リンク建築キャビン花嫁。,other
Unsay buot pasabot man ani.,cebuano
Anong ibig sabihin nito?,tagalog
What does this mean?,english
Блин один похороны граница.,other
Nagaligo siya kadabuntag.,cebuano
Nagliligo siya bawat umaga.,tagalog
He takes a bath every morning.,english
