model,topic_id,is_outlier,name,document_count,top_terms,term_weights
bertopic_en_tl,-1,True,-1_don_that_his_him,3135,"don, that, his, him, can, what, me, think, know, alam",don:0.004247; that:0.003946; his:0.003945; him:0.003934; can:0.003709; what:0.003664; me:0.003555; think:0.003489; know:0.003451; alam:0.003444
bertopic_en_tl,0,False,0_eating_food_eat_kumakain,160,"eating, food, eat, kumakain, pagkain, eaten, dinner, hapunan, lunch, kumain",eating:0.051796; food:0.042515; eat:0.040099; kumakain:0.037015; pagkain:0.035599; eaten:0.034222; dinner:0.034119; hapunan:0.031233; lunch:0.030723; kumain:0.030302
bertopic_en_tl,1,False,1_english_ingles_language_wika,130,"english, ingles, language, wika, speak, filipino, wikang, languages, spelling, spanish",english:0.080182; ingles:0.078437; language:0.065384; wika:0.061462; speak:0.045429; filipino:0.0282; wikang:0.024768; languages:0.022681; spelling:0.018349; spanish:0.017513
bertopic_en_tl,2,False,2_who_nagsulat_wrote_nagsabi,94,"who, nagsulat, wrote, nagsabi, nakaimbento, invented, built, nagboluntaryo, nakasama, nagtayo",who:0.146954; nagsulat:0.069809; wrote:0.057704; nagsabi:0.051092; nakaimbento:0.043001; invented:0.040239; built:0.032534; nagboluntaryo:0.031274; nakasama:0.031274; nagtayo:0.031274
bertopic_en_tl,3,False,3_book_aklat_libro_books,93,"book, aklat, libro, books, read, librong, aklatan, library, tony, nabasa",book:0.122997; aklat:0.101572; libro:0.078708; books:0.071116; read:0.054442; librong:0.041123; aklatan:0.031985; library:0.031985; tony:0.029349; nabasa:0.024511
bertopic_en_tl,4,False,4_sinabi_him_said_totoo,83,"sinabi, him, said, totoo, alam, asks, william, believe, doesn, sabihin",sinabi:0.03429; him:0.028431; said:0.020294; totoo:0.020189; alam:0.018772; asks:0.018704; william:0.018704; believe:0.018658; doesn:0.018203; sabihin:0.01806
bertopic_en_tl,5,False,5_beautiful_babae_tabitha_woman,81,"beautiful, babae, tabitha, woman, women, maganda, lesbian, girls, babaeng, risa",beautiful:0.069834; babae:0.055593; tabitha:0.050793; woman:0.047982; women:0.041058; maganda:0.040727; lesbian:0.039524; girls:0.038095; babaeng:0.030793; risa:0.030376
bertopic_en_tl,6,False,6_hupiter_jupiter_moon_venus,80,"hupiter, jupiter, moon, venus, buwang, lampas, beyond, buwan, planeta, planet",hupiter:0.054021; jupiter:0.054021; moon:0.051371; venus:0.039939; buwang:0.03677; lampas:0.03462; beyond:0.03462; buwan:0.034043; planeta:0.032816; planet:0.03279
bertopic_en_tl,7,False,7_susi_pen_key_bolpen,74,"susi, pen, key, bolpen, homework, takdang, aralin, keys, panulat, lapis",susi:0.09555; pen:0.082819; key:0.073594; bolpen:0.063642; homework:0.05279; takdang:0.05105; aralin:0.05105; keys:0.042708; panulat:0.042708; lapis:0.040761
bertopic_en_tl,8,False,8_crying_umiyak_cry_cried,73,"crying, umiyak, cry, cried, iyak, umiiyak, sad, tears, malungkot, naiyak",crying:0.099014; umiyak:0.089331; cry:0.08743; cried:0.074856; iyak:0.062758; umiiyak:0.06238; sad:0.058306; tears:0.057686; malungkot:0.055987; naiyak:0.044888
bertopic_en_tl,9,False,9_piano_singing_song_guitar,71,"piano, singing, song, guitar, sing, piyano, gitara, kumakanta, plays, awit",piano:0.08226; singing:0.070409; song:0.065208; guitar:0.054089; sing:0.050718; piyano:0.050117; gitara:0.050117; kumakanta:0.046362; plays:0.046362; awit:0.038635
bertopic_en_tl,10,False,10_aso_dog_dogs_asong,69,"aso, dog, dogs, asong, tumatahol, barking, threw, stone, bigger, buto",aso:0.188598; dog:0.184108; dogs:0.082289; asong:0.068183; tumatahol:0.041179; barking:0.034789; threw:0.031442; stone:0.029086; bigger:0.021814; buto:0.021095
bertopic_en_tl,11,False,11_chicken_karne_meat_manok,63,"chicken, karne, meat, manok, baboy, beef, pork, adobong, pickled, vegetarian",chicken:0.10192; karne:0.092066; meat:0.090462; manok:0.08918; baboy:0.063877; beef:0.059806; pork:0.059583; adobong:0.053212; pickled:0.051072; vegetarian:0.039251
bertopic_en_tl,12,False,12_phone_call_telepono_tumawag,62,"phone, call, telepono, tumawag, tawagan, tinawagan, tatawagan, calling, tinatawagan, selpon",phone:0.135563; call:0.132547; telepono:0.121021; tumawag:0.101794; tawagan:0.081266; tinawagan:0.067885; tatawagan:0.065155; calling:0.054296; tinatawagan:0.050075; selpon:0.047418
bertopic_en_tl,13,False,13_nakita_saw_see_nakikita,61,"nakita, saw, see, nakikita, panoorin, anino, eyes, mata, shadow, watch",nakita:0.096542; saw:0.089032; see:0.087379; nakikita:0.081992; panoorin:0.071387; anino:0.052314; eyes:0.048938; mata:0.04802; shadow:0.045232; watch:0.042153
bertopic_en_tl,14,False,14_love_mahal_ibig_loved,60,"love, mahal, ibig, loved, pagmamahal, minahal, loves, habambuhay, minamahal, forever",love:0.187214; mahal:0.134153; ibig:0.077277; loved:0.065123; pagmamahal:0.065123; minahal:0.056861; loves:0.052116; habambuhay:0.036028; minamahal:0.036028; forever:0.034116
bertopic_en_tl,15,False,15_rain_umulan_rained_raining,58,"rain, umulan, rained, raining, umuulan, ulan, uulan, malakas, heavily, baha",rain:0.124083; umulan:0.10462; rained:0.099875; raining:0.084646; umuulan:0.084646; ulan:0.081915; uulan:0.069256; malakas:0.047784; heavily:0.032383; baha:0.030302
bertopic_en_tl,16,False,16_kitchen_kusina_mhel_messing,56,"kitchen, kusina, mhel, messing, cooking, bangus, nagpuputo, making, nellie, busy",kitchen:0.195304; kusina:0.195304; mhel:0.063837; messing:0.043033; cooking:0.040472; bangus:0.033736; nagpuputo:0.032275; making:0.031022; nellie:0.029083; busy:0.026984
bertopic_en_tl,17,False,17_namatay_died_die_dead,55,"namatay, died, die, dead, patay, mamamatay, suicide, committed, nagpakamatay, bangkay",namatay:0.089792; died:0.088327; die:0.075249; dead:0.073648; patay:0.057324; mamamatay:0.051561; suicide:0.051561; committed:0.037525; nagpakamatay:0.037525; bangkay:0.035815
bertopic_en_tl,18,False,18_blue_bughaw_color_sambalilo,52,"blue, bughaw, color, sambalilo, kulay, panuos, puti, itim, black, asul",blue:0.148286; bughaw:0.126698; color:0.113963; sambalilo:0.108786; kulay:0.085339; panuos:0.077008; puti:0.052411; itim:0.051648; black:0.050983; asul:0.049563
bertopic_en_tl,19,False,19_car_kotse_sasakyan_kotseng,51,"car, kotse, sasakyan, kotseng, cars, awto, magmaneho, huminto, drive, bumili",car:0.229327; kotse:0.20531; sasakyan:0.054577; kotseng:0.040502; cars:0.038353; awto:0.038353; magmaneho:0.025799; huminto:0.025569; drive:0.022981; bumili:0.020636
bertopic_en_tl,20,False,20_pumunta_pupunta_america_amerika,50,"pumunta, pupunta, america, amerika, come, go, darating, dumating, here, meeting",pumunta:0.056751; pupunta:0.049672; america:0.044055; amerika:0.040755; come:0.040183; go:0.031418; darating:0.03105; dumating:0.028778; here:0.027966; meeting:0.027852
bertopic_en_tl,21,False,21_french_pranses_speak_wikang,50,"french, pranses, speak, wikang, nagsasalita, france, teaches, magsalita, marunong, magsulat",french:0.195933; pranses:0.19032; speak:0.068251; wikang:0.059155; nagsasalita:0.054529; france:0.032428; teaches:0.031443; magsalita:0.031431; marunong:0.030443; magsulat:0.02515
bertopic_en_tl,22,False,22_pusa_cat_cats_pusang,49,"pusa, cat, cats, pusang, chased, itim, black, daga, under, gizmo",pusa:0.214821; cat:0.197773; cats:0.100772; pusang:0.060875; chased:0.033678; itim:0.029707; black:0.029324; daga:0.027229; under:0.026402; gizmo:0.026175
bertopic_en_tl,23,False,23_old_matanda_age_years,49,"old, matanda, age, years, edad, gulang, older, taon, napakatanda, taong",old:0.136719; matanda:0.092341; age:0.062842; years:0.057216; edad:0.054987; gulang:0.054881; older:0.053517; taon:0.049772; napakatanda:0.039536; taong:0.033975
bertopic_en_tl,24,False,24_japanese_hapon_tokyo_japan,49,"japanese, hapon, tokyo, japan, bansang, hapones, kyoto, wiener, weena, hokkaido",japanese:0.1185; hapon:0.107467; tokyo:0.082435; japan:0.081297; bansang:0.049999; hapones:0.044254; kyoto:0.041595; wiener:0.039608; weena:0.033789; hokkaido:0.021793
bertopic_en_tl,25,False,25_waited_naghintay_wait_maghintay,49,"waited, naghintay, wait, maghintay, waiting, pinahintay, hinihintay, magintay, sandali, hintayin",waited:0.198773; naghintay:0.19451; wait:0.158259; maghintay:0.113679; waiting:0.082883; pinahintay:0.057335; hinihintay:0.04849; magintay:0.041699; sandali:0.040874; hintayin:0.038224
bertopic_en_tl,26,False,26_twitter_peter_busog_ekkantu,49,"twitter, peter, busog, ekkantu, hi, edgar, degas, am, brave, hello",twitter:0.131148; peter:0.109649; busog:0.098361; ekkantu:0.076448; hi:0.076448; edgar:0.076448; degas:0.076448; am:0.073216; brave:0.070076; hello:0.065574
bertopic_en_tl,27,False,27_brother_father_tatay_kapatid,48,"brother, father, tatay, kapatid, son, brothers, kaniyang, lalaki, anak, my",brother:0.113643; father:0.113643; tatay:0.098102; kapatid:0.090121; son:0.049606; brothers:0.041729; kaniyang:0.041268; lalaki:0.040816; anak:0.035526; my:0.035072
bertopic_en_tl,28,False,28_stupid_kakaiba_lazy_bobo,47,"stupid, kakaiba, lazy, bobo, crazy, tanga, strange, tamad, baliw, aburido",stupid:0.120534; kakaiba:0.096471; lazy:0.085279; bobo:0.070318; crazy:0.069833; tanga:0.066588; strange:0.063552; tamad:0.060996; baliw:0.055126; aburido:0.045747
bertopic_en_tl,29,False,29_married_asawa_kasal_wife,47,"married, asawa, kasal, wife, husband, marry, ikinasal, ikakasal, nagpakasal, pakasalan",married:0.154087; asawa:0.106564; kasal:0.072163; wife:0.067534; husband:0.061631; marry:0.060371; ikinasal:0.057619; ikakasal:0.040878; nagpakasal:0.040878; pakasalan:0.040878
bertopic_en_tl,30,False,30_eats_ate_maja_mark,47,"eats, ate, maja, mark, blanca, kumakain, kumain, de, tosilog, chuck",eats:0.11033; ate:0.09202; maja:0.091957; mark:0.087236; blanca:0.083068; kumakain:0.082947; kumain:0.074693; de:0.066984; tosilog:0.059614; chuck:0.053149
bertopic_en_tl,31,False,31_room_doon_bintana_windows,46,"room, doon, bintana, windows, kapihan, living, tatsulok, triangular, doors, restawran",room:0.106654; doon:0.068257; bintana:0.067079; windows:0.064258; kapihan:0.060372; living:0.05671; tatsulok:0.050184; triangular:0.050184; doors:0.048166; restawran:0.044776
